time.ms, testpart.x, testpart.y, testpart.theta, testpart.x, testpart.y, testpart.theta, robot.x, robot.y, robot.theta, robot.x, robot.y, robot.theta
6369, 1199.3667, 278.80573, 1.420448, 981.8502, 714.00336, 2.9897137, 875.7811, 667.0449, 5.9791255, 912.5805, 491.4596, 5.5037055
9497, 1199.3667, 278.80573, 1.420448, 981.8502, 714.00336, 2.9897137, 876.4121, 687.082, 5.8582277, 900.5962, 501.79114, 5.5037055
12696, 1199.3667, 278.80573, 1.420448, 981.8502, 714.00336, 2.9897137, 883.2535, 687.68616, 5.741747, 888.07745, 513.17365, 5.5037055
15761, 1199.3667, 278.80573, 1.420448, 981.8502, 714.00336, 2.9897137, 885.4265, 688.05237, 5.7044353, 874.6377, 525.6627, 5.5037055
19400, 1199.3667, 278.80573, 1.420448, 981.8502, 714.00336, 2.9897137, 885.21375, 688.0126, 5.7081275, 863.4868, 536.1609, 5.5037055
22756, 1199.3667, 278.80573, 1.420448, 981.8502, 714.00336, 2.9897137, 883.17926, 687.666, 5.743041, 850.95996, 548.058, 5.5037055
26758, 1199.3667, 278.80573, 1.420448, 981.8502, 714.00336, 2.9897137, 879.25836, 687.1994, 5.809792, 837.1801, 561.22943, 5.5037055
30099, 1199.3667, 278.80573, 1.420448, 981.8502, 714.00336, 2.9897137, 875.2779, 686.7877, 5.8780785, 824.9271, 573.01495, 5.5037055
33677, 1199.3667, 278.80573, 1.420448, 981.8502, 714.00336, 2.9897137, 873.723, 685.64795, 5.912336, 811.988, 585.4989, 5.5037055
