time.ms, testpart.x, testpart.y, testpart.theta, testpart.x, testpart.y, testpart.theta, robot.x, robot.y, robot.theta, robot.x, robot.y, robot.theta
6280, 715.5771, 757.1185, 3.4082727, 1024.4675, 380.0545, 0.12480747, 954.4209, 648.0705, -0.070810005, 813.5803, 607.784, 3.4715495
9598, 715.5771, 757.1185, 3.4082727, 1024.4675, 380.0545, 0.12480747, 959.2489, 672.39105, -0.070810005, 805.03394, 583.5152, 3.613163
13046, 715.5771, 757.1185, 3.4082727, 1024.4675, 380.0545, 0.12480747, 961.8872, 689.8941, -0.070810005, 798.02124, 565.23395, 3.613163
16100, 715.5771, 757.1185, 3.4082727, 1024.4675, 380.0545, 0.12480747, 964.2842, 710.256, -0.070810005, 790.1227, 545.2606, 3.613163
19699, 715.5771, 757.1185, 3.4082727, 1024.4675, 380.0545, 0.12480747, 966.10803, 729.26025, -0.070810005, 782.60767, 526.82086, 3.613163
22756, 715.5771, 757.1185, 3.4082727, 1024.4675, 380.0545, 0.12480747, 964.69446, 739.9695, 0.0017319834, 774.52356, 507.29578, 3.613163
25916, 715.5771, 757.1185, 3.4082727, 1024.4675, 380.0545, 0.12480747, 961.4431, 738.5204, -0.07159456, 762.0144, 477.6754, 3.613163
29373, 715.5771, 757.1185, 3.4082727, 1024.4675, 380.0545, 0.12480747, 959.1042, 739.77734, -0.00907799, 752.05054, 454.37354, 3.4703622
