time.ms, testpart.x, testpart.y, testpart.theta, testpart.x, testpart.y, testpart.theta, robot.x, robot.y, robot.theta, robot.x, robot.y, robot.theta
6133, 641.2307, 393.86346, 5.4902606, 1203.4415, 642.8222, 0.5788523, 1000.1805, 738.56195, 1.0759056, 889.3174, 717.05206, 2.4537566
9275, 641.2307, 393.86346, 5.4902606, 1203.4415, 642.8222, 0.5788523, 1018.0143, 748.18665, 1.0759056, 901.2804, 702.4933, 2.4537566
12701, 641.2307, 393.86346, 5.4902606, 1203.4415, 642.8222, 0.5788523, 1037.8235, 758.87744, 1.0759056, 915.60657, 685.0586, 2.4537566
15753, 641.2307, 393.86346, 5.4902606, 1203.4415, 642.8222, 0.5788523, 1055.7026, 768.5265, 1.0759056, 928.0496, 669.91565, 2.4537566
18849, 641.2307, 393.86346, 5.4902606, 1203.4415, 642.8222, 0.5788523, 1072.99, 777.8562, 1.0759056, 939.8573, 655.5459, 2.4537566
22265, 641.2307, 393.86346, 5.4902606, 1203.4415, 642.8222, 0.5788523, 1087.7145, 785.80286, 1.0759056, 950.15247, 643.01685, 2.4537566
25611, 641.2307, 393.86346, 5.4902606, 1203.4415, 642.8222, 0.5788523, 1103.0846, 794.09796, 1.0759056, 961.1348, 629.6515, 2.4537566
29262, 641.2307, 393.86346, 5.4902606, 1203.4415, 642.8222, 0.5788523, 1119.2776, 802.83704, 1.0759056, 972.96497, 615.25446, 2.4537566
32288, 641.2307, 393.86346, 5.4902606, 1203.4415, 642.8222, 0.5788523, 1136.3513, 812.0516, 1.0759056, 985.1196, 600.46246, 2.4537566
35893, 641.2307, 393.86346, 5.4902606, 1203.4415, 642.8222, 0.5788523, 1158.5356, 824.0241, 1.0759056, 1001.355, 580.7043, 2.4537566
39820, 641.2307, 393.86346, 5.4902606, 1203.4415, 642.8222, 0.5788523, 1181.7971, 836.57806, 1.0759056, 1018.3695, 559.99786, 2.4537566
43586, 641.2307, 393.86346, 5.4902606, 1203.4415, 642.8222, 0.5788523, 1201.1786, 847.03796, 1.0759056, 1032.3654, 542.9653, 2.4537566
47603, 641.2307, 393.86346, 5.4902606, 1203.4415, 642.8222, 0.5788523, 1221.1062, 857.7926, 1.0759056, 1046.9014, 525.2751, 2.4537566
50923, 641.2307, 393.86346, 5.4902606, 1203.4415, 642.8222, 0.5788523, 1236.2867, 865.9955, 0.96870816, 1058.0349, 511.72583, 2.4537566
55155, 641.2307, 393.86346, 5.4902606, 1203.4415, 642.8222, 0.5788523, 1252.0074, 874.57916, 0.96870816, 1069.6399, 497.60278, 2.4537566
58443, 641.2307, 393.86346, 5.4902606, 1203.4415, 642.8222, 0.5788523, 1266.687, 881.8364, 1.0478964, 1081.5421, 483.11792, 2.4537566
61813, 641.2307, 393.86346, 5.4902606, 1203.4415, 642.8222, 0.5788523, 1284.2883, 884.8981, 1.1663634, 1097.656, 463.50763, 2.4537566
65188, 641.2307, 393.86346, 5.4902606, 1203.4415, 642.8222, 0.5788523, 1298.284, 869.9461, 0.87519586, 1114.3594, 443.18, 2.6579096
68259, 641.2307, 393.86346, 5.4902606, 1203.4415, 642.8222, 0.5788523, 1306.1053, 863.3152, 0.7394201, 1122.8892, 432.76898, 2.6579096
71642, 641.2307, 393.86346, 5.4902606, 1203.4415, 642.8222, 0.5788523, 1312.6177, 855.54004, 0.6919522, 1135.8936, 416.71716, 2.6579096
74994, 641.2307, 393.86346, 5.4902606, 1203.4415, 642.8222, 0.5788523, 1318.9835, 848.3628, 0.6572405, 1149.0846, 400.26624, 2.6579096
78324, 641.2307, 393.86346, 5.4902606, 1203.4415, 642.8222, 0.5788523, 1323.1285, 843.86237, 0.6404594, 1158.0598, 388.93018, 2.6579096
81649, 641.2307, 393.86346, 5.4902606, 1203.4415, 642.8222, 0.5788523, 1327.0977, 839.7368, 0.63268, 1167.1514, 377.35364, 2.6579096
85790, 641.2307, 393.86346, 5.4902606, 1203.4415, 642.8222, 0.5788523, 1332.7079, 834.23254, 0.6380139, 1180.9316, 359.68066, 2.6579096
90211, 641.2307, 393.86346, 5.4902606, 1203.4415, 642.8222, 0.5788523, 1337.9438, 829.50244, 0.66223156, 1194.8564, 341.6903, 2.6579096
93675, 641.2307, 393.86346, 5.4902606, 1203.4415, 642.8222, 0.5788523, 1341.306, 826.684, 0.6860404, 1204.1821, 329.5923, 2.6579096
