time.ms, testpart.x, testpart.y, testpart.theta, testpart.x, testpart.y, testpart.theta, robot.x, robot.y, robot.theta, robot.x, robot.y, robot.theta
6397, 806.04565, 951.90454, 5.3654466, 1112.8572, 554.5354, 4.495, 219.62378, 472.85376, 1.4801878, 399.73657, 321.34058, 4.7456665
9560, 806.04565, 951.90454, 5.3654466, 1112.8572, 554.5354, 4.495, 240.03003, 474.70782, 1.4801878, 379.86285, 322.00214, 4.90992
13078, 806.04565, 951.90454, 5.3654466, 1112.8572, 554.5354, 4.495, 259.9397, 476.51678, 1.4801878, 359.84134, 322.9521, 4.90992
16093, 806.04565, 951.90454, 5.3654466, 1112.8572, 554.5354, 4.495, 278.37476, 478.1917, 1.4801878, 341.4783, 324.1029, 4.90992
19698, 806.04565, 951.90454, 5.3654466, 1112.8572, 554.5354, 4.495, 303.1097, 480.4391, 1.4801878, 316.43024, 326.11432, 4.90992
23099, 806.04565, 951.90454, 5.3654466, 1112.8572, 554.5354, 4.495, 330.29117, 482.9087, 1.4801878, 288.9402, 328.6444, 4.90992
26391, 806.04565, 951.90454, 5.3654466, 1112.8572, 554.5354, 4.495, 350.07776, 484.70648, 1.6260535, 269.21667, 330.62708, 4.90992
30126, 806.04565, 951.90454, 5.3654466, 1112.8572, 554.5354, 4.495, 371.08945, 486.53137, 1.6260535, 248.59808, 332.802, 4.90992
34100, 806.04565, 951.90454, 5.3654466, 1112.8572, 554.5354, 4.495, 393.53885, 488.25696, 1.6260535, 226.75421, 335.23505, 4.90992
38108, 806.04565, 951.90454, 5.3654466, 1112.8572, 554.5354, 4.495, 416.90915, 489.91187, 1.6260535, 203.57819, 337.94763, 4.90992
41508, 806.04565, 951.90454, 5.3654466, 1112.8572, 554.5354, 4.495, 435.0891, 491.10413, 1.6260535, 190.5387, 344.44324, 4.7828507
45005, 806.04565, 951.90454, 5.3654466, 1112.8572, 554.5354, 4.495, 453.8238, 492.25476, 1.6260535, 190.95679, 351.9635, 4.6431217
48009, 806.04565, 951.90454, 5.3654466, 1112.8572, 554.5354, 4.495, 473.25018, 493.3562, 1.6260535, 191.85205, 356.4818, 4.5917826
51673, 806.04565, 951.90454, 5.3654466, 1112.8572, 554.5354, 4.495, 493.27533, 494.41376, 1.6260535, 192.29163, 360.11694, 4.5626564
55387, 806.04565, 951.90454, 5.3654466, 1112.8572, 554.5354, 4.495, 511.87848, 493.83704, 1.6012174, 192.55707, 363.34473, 4.543197
58563, 806.04565, 951.90454, 5.3654466, 1112.8572, 554.5354, 4.495, 516.2831, 479.6778, 1.3585126, 192.65149, 366.04742, 4.535837
62518, 806.04565, 951.90454, 5.3654466, 1112.8572, 554.5354, 4.495, 520.55054, 463.46405, 1.0873653, 192.4768, 368.63782, 4.5493803
65988, 806.04565, 951.90454, 5.3654466, 1112.8572, 554.5354, 4.495, 521.91785, 453.74756, 0.9230261, 192.10498, 369.87665, 4.5759273
70398, 806.04565, 951.90454, 5.3654466, 1112.8572, 554.5354, 4.495, 524.3692, 444.73535, 0.7595058, 191.56622, 370.7912, 4.6102805
73649, 806.04565, 951.90454, 5.3654466, 1112.8572, 554.5354, 4.495, 526.65564, 439.33508, 0.65094525, 191.05432, 371.14838, 4.6396036
76684, 806.04565, 951.90454, 5.3654466, 1112.8572, 554.5354, 4.495, 529.3177, 434.37036, 0.54274565, 190.48547, 371.47736, 4.6694994
80363, 806.04565, 951.90454, 5.3654466, 1112.8572, 554.5354, 4.495, 534.1697, 428.27527, 0.3811204, 191.4549, 369.2779, 4.614432
84406, 806.04565, 951.90454, 5.3654466, 1112.8572, 554.5354, 4.495, 539.67303, 423.5515, 0.22030063, 190.83905, 369.20178, 4.6709704
