time.ms, testpart.x, testpart.y, testpart.theta, testpart.x, testpart.y, testpart.theta, robot.x, robot.y, robot.theta, robot.x, robot.y, robot.theta
6300, 1144.4558, 236.33514, 2.5912228, 781.33093, 307.86133, 3.1136837, 198.45605, 481.14014, 2.1400077, 172.68011, 793.90717, 0.06907745
9328, 1144.4558, 236.33514, 2.5912228, 781.33093, 307.86133, 3.1136837, 209.20801, 474.26038, 2.1400077, 173.73633, 804.4172, 0.11480523
12697, 1144.4558, 236.33514, 2.5912228, 781.33093, 307.86133, 3.1136837, 222.64862, 465.66034, 2.1400077, 176.54156, 815.10364, 0.24376549
16292, 1144.4558, 236.33514, 2.5912228, 781.33093, 307.86133, 3.1136837, 234.146, 458.3037, 2.1400077, 179.96515, 824.9166, 0.34015998
19931, 1144.4558, 236.33514, 2.5912228, 781.33093, 307.86133, 3.1136837, 246.87347, 450.15997, 2.1400077, 184.38342, 836.84656, 0.4413033
23322, 1144.4558, 236.33514, 2.5912228, 781.33093, 307.86133, 3.1136837, 261.08392, 441.06726, 2.1400077, 190.07275, 851.149, 0.54852945
26653, 1144.4558, 236.33514, 2.5912228, 781.33093, 307.86133, 3.1136837, 273.5879, 433.06653, 2.1400077, 195.77643, 864.41473, 0.6353213
30544, 1144.4558, 236.33514, 2.5912228, 781.33093, 307.86133, 3.1136837, 286.823, 424.59796, 2.1400077, 203.02313, 868.90076, 0.63403684
34350, 1144.4558, 236.33514, 2.5912228, 781.33093, 307.86133, 3.1136837, 301.13098, 415.44293, 2.1400077, 211.8587, 867.49207, 0.56312406
37697, 1144.4558, 236.33514, 2.5912228, 781.33093, 307.86133, 3.1136837, 312.5022, 408.16693, 2.1400077, 219.0481, 866.4759, 0.500917
41121, 1144.4558, 236.33514, 2.5912228, 781.33093, 307.86133, 3.1136837, 324.32684, 400.63757, 1.9032298, 227.13, 865.55084, 0.421318
44671, 1144.4558, 236.33514, 2.5912228, 781.33093, 307.86133, 3.1136837, 336.70978, 392.9254, 1.9032298, 236.1001, 864.7851, 0.32248878
48551, 1144.4558, 236.33514, 2.5912228, 781.33093, 307.86133, 3.1136837, 349.43677, 385.1115, 1.9032298, 245.5918, 864.65735, 0.21578361
52244, 1144.4558, 236.33514, 2.5912228, 781.33093, 307.86133, 3.1136837, 362.9768, 377.034, 1.9032298, 255.64569, 865.0892, 0.09631346
56204, 1144.4558, 236.33514, 2.5912228, 781.33093, 307.86133, 3.1136837, 377.2625, 368.71594, 1.9032298, 265.20697, 866.2046, -0.004261317
60518, 1144.4558, 236.33514, 2.5912228, 781.33093, 307.86133, 3.1136837, 392.02667, 360.24963, 1.9032298, 271.37012, 866.22534, -0.0026857066
64600, 1144.4558, 236.33514, 2.5912228, 781.33093, 307.86133, 3.1136837, 407.37195, 351.59943, 1.9032298, 277.3806, 866.28107, 0.0014808606
69000, 1144.4558, 236.33514, 2.5912228, 781.33093, 307.86133, 3.1136837, 423.12057, 342.82678, 1.9032298, 283.3971, 866.28107, 0.0014808606
72080, 1144.4558, 236.33514, 2.5912228, 781.33093, 307.86133, 3.1136837, 433.93573, 336.87848, 1.9032298, 287.31885, 866.28107, 0.0014808606
76517, 1144.4558, 236.33514, 2.5912228, 781.33093, 307.86133, 3.1136837, 450.7552, 327.76367, 1.9032298, 293.11023, 866.28107, 0.0014808606
80826, 1144.4558, 236.33514, 2.5912228, 781.33093, 307.86133, 3.1136837, 468.42572, 318.37158, 1.9032298, 298.79578, 866.28107, 0.0014808606
84161, 1144.4558, 236.33514, 2.5912228, 781.33093, 307.86133, 3.1136837, 480.68494, 311.95398, 1.9032298, 302.51862, 866.28107, 0.0014808606
87515, 1144.4558, 236.33514, 2.5912228, 781.33093, 307.86133, 3.1136837, 493.0769, 305.49774, 1.9032298, 306.192, 866.28107, 0.0014808606
90963, 1144.4558, 236.33514, 2.5912228, 781.33093, 307.86133, 3.1136837, 505.77206, 298.94415, 1.9032298, 309.80933, 866.28107, 0.0014808606
94102, 1144.4558, 236.33514, 2.5912228, 781.33093, 307.86133, 3.1136837, 518.6312, 292.3412, 1.9032298, 313.3849, 866.28107, 0.0014808606
97896, 1144.4558, 236.33514, 2.5912228, 781.33093, 307.86133, 3.1136837, 525.9752, 293.7121, 1.9651996, 316.9005, 866.28107, 0.0014808606
101393, 1144.4558, 236.33514, 2.5912228, 781.33093, 307.86133, 3.1136837, 527.5679, 298.06262, 1.9903826, 320.34805, 866.28107, 0.0014808606
104914, 1144.4558, 236.33514, 2.5912228, 781.33093, 307.86133, 3.1136837, 529.39526, 302.2127, 2.013528, 323.73254, 866.28107, 0.0014808606
108534, 1144.4558, 236.33514, 2.5912228, 781.33093, 307.86133, 3.1136837, 531.3038, 306.26892, 2.0357022, 327.08096, 866.28107, 0.0014808606
112576, 1144.4558, 236.33514, 2.5912228, 781.33093, 307.86133, 3.1136837, 533.66113, 310.07727, 2.0578024, 330.37827, 866.28107, 0.0014808606
116362, 1144.4558, 236.33514, 2.5912228, 781.33093, 307.86133, 3.1136837, 536.39014, 313.6754, 2.0798292, 333.6159, 866.28107, 0.0014808606
120392, 1144.4558, 236.33514, 2.5912228, 781.33093, 307.86133, 3.1136837, 539.31274, 317.14062, 2.1017828, 336.78894, 866.28107, 0.0014808591
124928, 1144.4558, 236.33514, 2.5912228, 781.33093, 307.86133, 3.1136837, 542.9254, 321.3485, 2.1701682, 339.92648, 866.28107, 0.0014808582
