time.ms, testpart.x, testpart.y, testpart.theta, testpart.x, testpart.y, testpart.theta, robot.x, robot.y, robot.theta, robot.x, robot.y, robot.theta
6535, 1132.2769, 219.37646, 4.1410823, 1106.5736, 815.5195, 3.2282548, 853.05646, 552.187, 3.5673964, 1095.8655, 631.3613, 3.7396655
9595, 1132.2769, 219.37646, 4.1410823, 1106.5736, 815.5195, 3.2282548, 847.535, 538.0519, 3.5724633, 1087.7351, 619.29785, 3.7396655
12901, 1132.2769, 219.37646, 4.1410823, 1106.5736, 815.5195, 3.2282548, 841.104, 521.9546, 3.57748, 1078.5002, 605.6146, 3.7396655
15951, 1132.2769, 219.37646, 4.1410823, 1106.5736, 815.5195, 3.2282548, 834.0402, 504.5251, 3.582447, 1067.6433, 589.55194, 3.7396655
18981, 1132.2769, 219.37646, 4.1410823, 1106.5736, 815.5195, 3.2282548, 828.85394, 491.90588, 3.5857308, 1059.831, 578.0012, 3.7396655
22567, 1132.2769, 219.37646, 4.1410823, 1106.5736, 815.5195, 3.2282548, 821.66724, 474.6709, 3.589805, 1049.1644, 562.2407, 3.7396655
25955, 1132.2769, 219.37646, 4.1410823, 1106.5736, 815.5195, 3.2282548, 815.42395, 459.8719, 3.59304, 1039.9673, 548.6585, 3.7396655
29120, 1132.2769, 219.37646, 4.1410823, 1106.5736, 815.5195, 3.2282548, 810.29803, 447.86316, 3.595452, 1032.7467, 537.9986, 3.7396655
32695, 1132.2769, 219.37646, 4.1410823, 1106.5736, 815.5195, 3.2282548, 803.0676, 431.0536, 3.5986495, 1022.38916, 522.7143, 3.7396655
35815, 1132.2769, 219.37646, 4.1410823, 1106.5736, 815.5195, 3.2282548, 797.26685, 417.7096, 3.7372184, 1014.03503, 510.39136, 3.7396655
39079, 1132.2769, 219.37646, 4.1410823, 1106.5736, 815.5195, 3.2282548, 788.87994, 398.95886, 3.7403789, 1002.0432, 492.70917, 3.7396655
42481, 1132.2769, 219.37646, 4.1410823, 1106.5736, 815.5195, 3.2282548, 777.0937, 373.669, 3.7443, 985.80054, 468.7683, 3.7396655
45913, 1132.2769, 219.37646, 4.1410823, 1106.5736, 815.5195, 3.2282548, 764.0183, 346.57324, 3.7481885, 968.50946, 443.2895, 3.7396655
49862, 1132.2769, 219.37646, 4.1410823, 1106.5736, 815.5195, 3.2282548, 755.84357, 329.86884, 3.7505062, 957.85376, 427.5901, 3.7396655
53238, 1132.2769, 219.37646, 4.1410823, 1106.5736, 815.5195, 3.2282548, 747.34546, 312.7339, 3.7528124, 946.8413, 411.3673, 3.7396655
